"fPoint [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB10normalize(GainTotal) []"
0,10,0,75,-42.0204447455677
0,10,0,76,-40.9102878129969
0,10,0,77,-41.0405640269862
0,10,0,78,-42.6109402688706
0,10,0,79,-45.4498989911794
0,10,0,80,-46.4511512639898
0,10,0,81,-43.3808244889639
0,10,0,82,-40.6639051469049
0,10,0,83,-39.3184808223282
0,10,0,84,-39.2403009249202
0,10,0,85,-40.316283227984
0,10,0,86,-41.9642725954939
0,10,0,87,-41.7334953354629
0,10,0,88,-38.9607141786793
0,10,0,89,-36.2868679778626
0,10,0,90,-34.5663859016254
0,10,0,91,-33.8173375809044
0,10,0,92,-33.9999299069483
0,10,0,93,-35.10123473948
0,10,0,94,-36.9496524486617
0,10,0,95,-38.4205688916701
0,10,0,96,-37.6136141216253
0,10,0,97,-35.6236724487359
0,10,0,98,-34.1549326039236
0,10,0,99,-33.6161141832453
0,10,0,100,-34.0529500825456
0,10,0,101,-35.4950336287288
0,10,0,102,-37.8678959021193
0,10,0,103,-40.1235404896793
0,10,0,104,-39.7547132589504
0,10,0,105,-37.8344068889571
0,10,0,106,-36.4941230129342
0,10,0,107,-36.1131710523087
0,10,0,108,-36.5676764682656
0,10,0,109,-37.4865158771883
0,10,0,110,-38.038225727668
0,10,0,111,-37.4639670272502
0,10,0,112,-36.2554420522915
0,10,0,113,-35.2805128854521
0,10,0,114,-34.9035139692417
0,10,0,115,-35.120807113318
0,10,0,116,-35.6119044665107
0,10,0,117,-35.6777455360718
0,10,0,118,-34.8366690642664
0,10,0,119,-33.5562220196893
0,10,0,120,-32.5201747411161
0,10,0,121,-32.0563485782507
0,10,0,122,-32.2673338055624
0,10,0,123,-33.1666188142499
0,10,0,124,-34.638432372761
0,10,0,125,-36.1006412567216
0,10,0,126,-36.2572467308366
0,10,0,127,-34.8655764583368
0,10,0,128,-33.1974977018757
0,10,0,129,-31.9966286873107
0,10,0,130,-31.4426684676865
0,10,0,131,-31.5785482125339
0,10,0,132,-32.4539762190676
0,10,0,133,-34.1462364849249
0,10,0,134,-36.639476604975
0,10,0,135,-39.062553370465
0,10,0,136,-38.9812685839963
0,10,0,137,-37.0440661360037
0,10,0,138,-35.4483238275236
0,10,0,139,-34.6540890620051
0,10,0,140,-34.5759884646693
0,10,0,141,-35.0592851731153
0,10,0,142,-35.9157845640257
0,10,0,143,-36.8893553425206
0,10,0,144,-37.671858312632
0,10,0,145,-38.0606855054387
0,10,0,146,-38.1190157822059
0,10,0,147,-38.0774593904691
0,10,0,148,-38.1316697393397
0,10,0,149,-38.3726464188151
0,10,0,150,-38.8100122409836
0,10,0,151,-39.4030227237028
0,10,0,152,-40.068392590523
0,10,0,153,-40.6501286598207
0,10,0,154,-40.8677453340297
0,10,0,155,-40.3941035626336
0,10,0,156,-39.1819401668605
0,10,0,157,-37.5694257608464
0,10,0,158,-35.9437045287152
0,10,0,159,-34.5300738426779
0,10,0,160,-33.41994192472
0,10,0,161,-32.6377901252388
0,10,0,162,-32.178162609659
0,10,0,163,-32.0158981467008
0,10,0,164,-32.0955981690537
0,10,0,165,-32.3013471691527
0,10,0,166,-32.4238909007322
0,10,0,167,-32.2011189353721
0,10,0,168,-31.5010076650486
0,10,0,169,-30.4529610747958
0,10,0,170,-29.3096245913944
0,10,0,171,-28.2618682320401
0,10,0,172,-27.3973100508234
0,10,0,173,-26.7325600067614
0,10,0,174,-26.2464244252195
0,10,0,175,-25.9009502105598
0,10,0,176,-25.6553387066702
0,10,0,177,-25.4762287115395
0,10,0,178,-25.343850147238
0,10,0,179,-25.2524646358138
0,10,0,180,-25.2058915389387
